,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.35,0.0,1.5e-05,1e-06
1,1,282.05,0.89635,1.284342439132589,0.35,3.1835e-13,9.589e-05,1.388045e-07
2,2,274.1,0.7948500000000001,1.1719400611250825,0.35,4.7275999999999996e-14,9.5855e-05,2.044515e-11
3,3,266.2,0.70235,1.0662886657376767,0.35,3.461e-15,9.5875e-05,1.0722e-13
4,4,258.3,0.6183000000000001,0.967395577251639,0.35,1.036e-14,9.591e-05,2.4325e-13
5,5,250.35000000000002,0.5421,0.8751068206222994,0.35,3.3265e-14,9.595e-05,4.61e-13
6,6,242.4,0.47335000000000005,0.7891853654939986,0.35,9.344e-14,9.599000000000001e-05,7.1265e-13
7,7,234.5,0.41145,0.7090934550250825,0.35,2.439e-13,9.604000000000001e-05,7.8775e-13
8,8,226.6,0.35595,0.6348313258874188,0.35,5.7165e-13,9.609500000000001e-05,9.033e-13
9,9,218.64999999999998,0.3064,0.5663286549474597,0.35,1.1714e-12,9.6155e-05,1.4945000000000001e-12
10,10,210.7,0.26225,0.5030141689530221,0.35,2.1635e-12,9.6225e-05,3.5665e-12
11,11,202.8,0.22315000000000002,0.44469085438359174,0.35,3.7915000000000006e-12,9.630000000000001e-05,1.03885e-11
12,12,194.9,0.18865,0.39117782502453996,0.35,6.6245e-12,9.638e-05,3.6955e-11
13,13,186.95,0.15845,0.342527962590802,0.35,1.1885e-11,9.6475e-05,1.4093e-10
14,14,180.5,0.1321,0.2957705090237248,0.35,2.0475e-11,9.6575e-05,4.103e-10
15,15,180.0,0.10975,0.2464116752778996,0.35,3.1965e-11,9.6695e-05,8.2885e-10
16,16,180.0,0.09121499999999999,0.20479672870461846,0.35,4.8065000000000004e-11,9.684e-05,1.529e-09
17,17,180.0,0.07580500000000001,0.17019805994247073,0.35,7.107500000000001e-11,9.702e-05,2.7685e-09
