,altitude_km,T,P,rho,CO2,O,CO,O2
0,0,288.0,1.0,0.0,0.9,0.0,1.5e-05,1e-06
1,1,282.95000000000005,0.8884,1.6012343362460588,0.9,9.8995e-14,2.7005e-06,6.2955e-07
2,2,276.25,0.78835,1.4553675927685912,0.9,3.2625e-13,2.6915e-06,2.3919999999999997e-07
3,3,269.54999999999995,0.6974499999999999,1.3195613571638476,0.9,7.471e-13,2.689e-06,3.06605e-08
4,4,262.9,0.6151500000000001,1.1932907625717093,0.9,4.22e-13,2.7175e-06,1.3507e-10
5,5,256.2,0.5408,1.0764984130898645,0.9,4.965499999999999e-13,2.763e-06,4.314500000000001e-12
6,6,249.5,0.47385,0.9685592016395626,0.9,9.7735e-13,2.8139999999999997e-06,4.7290000000000005e-12
7,7,242.75,0.41364999999999996,0.8690197096639589,0.9,1.6525e-12,2.8715e-06,5.8925e-12
8,8,236.10000000000002,0.3598,0.777178912769593,0.9,2.6329999999999998e-12,2.935e-06,8.757499999999999e-12
9,9,229.39999999999998,0.3117,0.6929457334995145,0.9,4.0604999999999995e-12,3.0055000000000003e-06,1.7015e-11
10,10,222.65,0.26890000000000003,0.6159194789062049,0.9,6.139e-12,3.0845e-06,3.597e-11
11,11,220.0,0.2312,0.5359459400595157,0.9,8.8475e-12,3.1735e-06,6.287e-11
12,12,220.0,0.19865,0.46049161330444416,0.9,1.254e-11,3.2755000000000002e-06,1.0363999999999999e-10
13,13,220.0,0.17070000000000002,0.3957005708324658,0.9,1.7975e-11,3.3934999999999998e-06,1.866e-10
14,14,220.0,0.14665,0.3399501389653088,0.9,2.6065000000000003e-11,3.53e-06,3.905e-10
15,15,220.0,0.12605,0.2921971703770228,0.9,3.6470000000000004e-11,3.688e-06,9.885e-10
16,16,220.0,0.10830000000000001,0.25105080206205366,0.9,4.2924999999999997e-11,3.8719999999999995e-06,3.0044999999999997e-09
17,17,220.0,0.093115,0.21585037457323322,0.9,3.541e-11,4.0905e-06,1.0499e-08
18,18,220.0,0.08002999999999999,0.18551797068750028,0.9,2.698e-11,4.368500000000001e-06,3.8375e-08
19,19,220.0,0.06878999999999999,0.15946247625513477,0.9,2.5655e-11,4.753e-06,1.18435e-07
20,20,220.0,0.05913,0.13706959424525078,0.9,2.7565e-11,5.293499999999999e-06,2.8245e-07
21,21,220.0,0.05083,0.1178293403821647,0.9,3.1055e-11,6.0295000000000005e-06,5.527499999999999e-07
22,22,220.0,0.0437,0.1013012730845173,0.9,3.5909999999999995e-11,6.998e-06,9.480500000000001e-07
